d:\tmp\try7\IMG\center_2020_09_04_20_26_05_094.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_094.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_094.jpg,0,0,0,5.411904E-05
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_194.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_194.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_194.jpg,0,0,0,5.418329E-05
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_305.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_305.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_305.jpg,0,0,0,5.41675E-05
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_385.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_385.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_385.jpg,0,0,0,5.537259E-05
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_480.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_480.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_480.jpg,0,0,0,5.419431E-05
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_566.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_566.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_566.jpg,0,0.1459275,0,0.08049136
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_673.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_673.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_673.jpg,0.25,0.4319508,0,0.4772519
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_778.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_778.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_778.jpg,0.5000001,0.7362867,0,1.235108
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_863.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_863.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_863.jpg,0.7500002,1,0,2.331161
d:\tmp\try7\IMG\center_2020_09_04_20_26_05_945.jpg,d:\tmp\try7\IMG\left_2020_09_04_20_26_05_945.jpg,d:\tmp\try7\IMG\right_2020_09_04_20_26_05_945.jpg,0.9500002,1,0,3.234759
